Hesap Kodu;Açýklama
      770.01.30.00002;KONGRE SEMPOZYUM TOPLANTI GÝD.
      770.01.30.00003;TANITIM AMAÇLI HEDÝYE ALIMLARI
      770.01.50.00001;BANKA HESAP VE EFT/HAVALE MASRAFLARI
      770.01.50.00002;TEMÝNAT MEKTUBU KOMÝSYON GÝD.
      770.01.50.00003;POS KOMÝSYONU-TEB
      770.01.50.00004;POS KOMÝSYONU-ZÝRAAT
      770.01.50.00005;POS CÝHAZ BEDELÝ
      770.01.50.00006;SGK GEÇ ÖDEME KOMÝSYONU
      770.01.50.00007;SGK KREDÝ KARTI ÖDEME KOMÝSYONU
      770.01.51.00001;DAMGA VERGÝ GÝD.-BEYANNAME
      770.01.51.00002;DAMGA VERGÝ GÝD.-SÖZLEÞME
      770.01.51.00003;NOTER GÝD.
      770.01.51.00004;MAHKEME HARÇ VE DOSYA GÝD.
      770.01.51.00005;MARKA TESCÝL VE LÝSANSLAMA GÝDERÝ
      770.01.51.00006;BÝNEK ARAÇ KDV
      770.01.51.00007;BÝNEK ARAÇ ÖTV
      770.01.51.00008;VERGÝ RESÝM VE HARÇ GÝD.
      770.01.51.00009;SÖZLEÞMELERDEN KAYNAKLANAN GÝD.
      770.01.51.00010;ÜNÝVERSÝTE ÖÐRENCÝ BURSLARI
      770.01.51.00011;SATIN ALINAN BÝNEK ARAÇ ÖTV-KDV GÝDERÝ
      770.01.51.00012;ARAÇ SATIN ALMA GÝDERLERÝ (RUHSAT BASIM/PLAKA BASIM VS)
      770.01.52.00001;BÝNALAR AMORTÝSMAN GÝD.
      770.01.52.00002;TAÞIT AMORTÝSMAN GÝD.
      770.01.52.00003;DEMÝRBAÞ AMORTÝSMAN GÝD.
      770.01.52.00004;TESÝS MAKÝNA CÝHAZ AMORTÝSMAN GÝD.
      770.01.52.00005;HAKLAR AMORTÝSMAN GÝD.
      770.01.52.00006;ÖZEL MALÝYET AMORTÝSMAN GÝD.
      770.01.52.00007;KURULUÞ ÖRGÜTLENME AMORTÝSMAN GÝD.
      771.01.01.00001;GENEL YÖNETÝM GÝD. YANSITMA HESABI
