Hesap Kodu;Açýklama
      740.01.10.00006;DANIÞMANLIK GÝD.-OSGB
      740.01.10.00007;DANIÞMANLIK GÝD.-AKADEMÝ
      740.01.10.00013;DANIÞMANLIK GÝD.-ARABULUCULUK
      740.01.11.00001;OFÝS BAKIM ONARIM GÝD.
      740.01.11.00002;ARAÇ BAKIM ONARIM GÝD.
      740.01.11.00003;CEP TELEFONU ONARIM GÝD.
      740.01.11.00004;LAPTOP ONARIM GÝD.
      740.01.11.00005;TIBBI CÝHAZ BAKIM ONARIM KALÝBRASYON GÝD.
      740.01.11.00006;BÝLGÝ ÝÞLEM BAKIM ONARIM GÝD.
      740.01.11.00007;ÝSG ARACI BAKIM ONARIM GÝDERÝ
      740.01.11.99999;DÝÐER DEMÝRBAÞ BAKIM ONARIM
      740.01.12.00002;YAZILIM ADMÝN VE HELP DESK GÝD.
      740.01.12.00004;WEB ALAN ADI TAHSÝS GÝD.
      740.01.12.00011;E-ÝMZA/E-TUÐRA GÝD.
      740.01.12.00012;ÝNFOMED CÝHAZ OTOMASYON ENTEGRASYON GÝDERÝ
      740.01.12.99999;BÝLGÝ ÝÞLEM DÝÐER GÝD.
      740.01.13.00001;ÝLAÇ GÝD.
      740.01.13.00002;MEDÝKAL SARF MALZEME GÝD.
      740.01.13.00003;LABORATUVAR HÝZMET ALIM GÝD.
      740.01.13.00004;RÖNTGEN GÝD.
      740.01.13.00005;DOZÝMETRE GÝD.
      740.01.13.00006;TIBBI ATIK TOPLAMA GÝD.
      740.01.14.00001;KALÝTE ISO EÐÝTÝM GÝD.
      740.01.14.00002;ÝLKYARDIM EÐÝTÝM GÝD.
      740.01.14.00003;MESLEKÝ EÐÝTÝM GÝD.
      740.01.14.00004;EÐÝTÝM AMAÇLI ÞÝRKET TOPLANTI GÝD.
      740.01.14.00005;YURTDIÞI EÐÝTÝM GÝDERLERÝ-HÝPOTEZ
      740.01.20.00001;MÜÞTERÝ ARAÇ KÝRALAMA GÝD.-UZUN DÖNEM
      740.01.20.00002;MÜÞTERÝ ARAÇ KÝRALAMA GÝD.-GÜNLÜK
      740.01.20.00003;PSÝKOLOJÝK DANIÞMANLIK HÝZMET ALIMI
      740.01.20.00004;SAÐLIK TARAMA/TAHLÝL TETKÝK/MOBÝL SAÐ./DNÞ HÝZ. ALIMLARI
      740.01.20.00005;ORTAM ÖLÇÜM(GÜRÜLTÜ/AYDINLATMA/TOZ/GAZ vb) HÝZ.ALIMLARI
      740.01.20.00006;ÝLAÇ SARF VE TIBBÝ MLZ.ALIMLARI
      740.01.20.00007;KKD (BARET/KEMER/YELEK/AYAKKABI/MASKE/ELDÝVEN) ALIMLARI
      740.01.20.00008;PERSONEL SERVÝS GÝDERLERÝ-TÜPRAÞ
      740.01.20.00009;ÝLKYARDIM EÐÝTÝM HÝZMET ALIMI
      740.01.20.00011;CÝHAZ/TELEFON/EKÝPMAN/DEMÝRBAÞ ALIMI
      740.01.20.00012;OTEL/KONAKLAMA/ULAÞIM/UÇAK HÝZMET ALIMLARI
      740.01.20.00013;EÐÝTÝM HÝZMET ALIMLARI
      740.01.20.00014;YAZILIM HÝZMET ALIMI (ÝRONÝK AKADEMEDYA/TURKGUVEN VS)
      740.01.20.00015;MÜÞTERÝ PARK/YIKAMA/ARAÇ HGS/OGS GEÇÝÞ GÝD.
      740.01.20.00016;PERSONELE VERÝLEN HEDÝYE NÝTELÝKLÝ GÝD.
      740.01.20.00017;PKD/RÝSK ANALÝZÝ/OSGB NÝTELÝKLÝ DIÞ HÝZ.ALIMI
      740.01.20.00020;KALÝBRASYON VE REVÝR MALZ.ALIMLARI
      740.01.20.00021;YEMEK YANSITMA BEDELÝ
      740.01.20.00022;MÜÞTERÝ ARAÇ BAKIM BEDELÝ
      740.01.20.00023;MÜÞTERÝ ARAÇ YAKIT BEDELÝ
      740.01.20.00026;TEMSÝL AÐIRLAMA GÝDERLERÝ-MÜÞTERÝLER
      740.01.20.00027;ÖZEL SAÐLIK SÝGORTASI-MÜÞTERÝ GRUBU
      740.01.20.00028;NORMAL TARAMA GÝDERLERÝ
      740.01.20.00029;MOBÝL TARAMA GÝDERLERÝ
      740.01.20.00030;MÜÞTERÝ ARAÇ UTTS GÝDERÝ
      740.01.21.00001;MASRAF FORMLARI VE DÝÐER GÝD.-VODAFONE
      740.01.21.00002;MASRAF FORMLARI VE DÝÐER GÝD.-SIEMENS
      740.01.21.00003;MASRAF FORMLARI VE DÝÐER GÝD.-TÜRK TRAKTÖR
      740.01.21.00004;MASRAF FORMLARI vE DÝÐER GÝD.-MÝGROS
      740.01.21.00005;MASRAF FORMLARI VE DÝÐER GÝD.-TÜPRAÞ
      740.01.21.00006;MASRAF FORMLARI VE DÝÐER GÝD.-AYGAZ
      740.01.21.00007;MASRAF FORMLARI VE DÝÐER GÝD.-TRENDYOL
      740.01.21.00008;MASRAF FORMLARI VE DÝÐER GÝD.-KOÇTAÞ
      740.01.21.00009;MASRAF FORMLARI VE DÝÐER GÝD.-PHÝLÝP MORÝS
      740.01.21.00010;MASRAF FORMLARI VE DÝÐER GÝD.-SWEDISHCARE
      740.01.21.00011;MASRAF FORMLARI VE DÝÐER GÝD.-ALMANYA
      740.01.30.00001;REKLAM TANITIM TOPLANTI GÝD.
      740.01.30.00002;KONGRE VE SEMPOZYUM GÝD.
      740.01.30.00003;SATIÞ KOMÝSYON BEDELÝ-ZER
      740.01.30.00004;ALTERNATÝF SATIÞ KANALI KOMÝSYON GÝD.
      740.01.30.00005;TANITIM AMAÇLI HEDÝYE ALIMLARI
      740.01.51.00002;DAMGA VERGÝ GÝD.-SÖZLEÞME
      740.01.51.00003;NOTER GÝD.
      740.01.51.00004;MAHKEME HARÇ VE DOSYA GÝD.
      740.01.51.00005;MARKA TESCÝL VE LÝSANSLAMA GÝDERÝ
      740.01.51.00008;VERGÝ RESÝM VE HARÇ GÝD.
      740.01.51.00009;SÖZLEÞMELERDEN KAYNAKLANAN GÝD.
      740.01.52.00006;ÖZEL MALÝYET AMORTÝSMAN GÝD.
      741.01.01.00001;HÝZMET ÜRETÝM MALÝYETÝ YANSITMA HESABI
      760.01.01.00001;BRÜT ÜCRET GÝD.
      760.01.01.00002;SGK ÝÞVEREN PAYI PRÝMÝ GÝD.
      760.01.01.00003;ÝÞSÝZLÝK ÝÞVEREN PAYI GÝD.
      760.01.01.00004;KIDEM TAZMÝNATI GÝD.
      760.01.01.00005;ÝHBAR TAZMÝNATI GÝD.
      760.01.01.00006;YILLIK ÝZÝN GÝD.
      760.01.01.00007;YEMEK KART GÝD.
      760.01.01.00008;MÝGROS KART
      760.01.01.00009;PERS. OPET ARAÇ YAKIT GÝD.
      760.01.01.00010;HARCIRAH GÝD.
      760.01.01.00011;PERSONEL ÝLAÇ SAÐLIK  GÝD.
      760.01.01.00012;GEÇMÝÞ DÖNEM SGK PRÝM
      760.01.01.00013;GEÇMÝÞ DÖNEM ÝÞSÝZLÝK PRÝM
      760.01.01.00014;GEÇMÝÞ DÖNEM ÜCRET-KIDEM-ÝHBAR-ÝZÝN- GÝDERLERÝ
      760.01.01.00015;TELÝF HAKKI ÖDEMELERÝ
      760.01.01.99999;DÝÐER PERS. GÝD. (MF)
      760.01.02.00001;TAÞIMA SERVÝS GÝD.
      760.01.02.00002;APRON KARTI GÝD.
      760.01.02.00003;PER. YEMEK GÝD.
      760.01.02.00004;MUTFAK ET GÝD.
      760.01.02.00005;KIYAFET ÜNÝFORMA GÝD. (POLAR/PANTOLON/HEMÞÝRE KIY.)
      760.01.02.00015;KKD (BARET/KEMER/YELEK/AYAKKABI) ALIMLARI
      760.01.02.00017;PER.ABONMAN YOL MASRAFI
      760.01.02.00018;PER.YILBAÞI HEDÝYE NÝTELÝKLÝ GÝD.
      760.01.02.00019;PER.VERÝLEN HEDÝYE NÝTELÝKLÝ GÝD.
      760.01.03.00001;OFÝS KÝRA GÝD.
      760.01.03.00002;LOJMAN KÝRA GÝD.
      760.01.04.00001;AÝDAT GÝD.
      760.01.04.00002;ELEKTRÝK GÝD.
      760.01.04.00003;DOÐALGAZ VE ISINMA GÝD.
      760.01.04.00004;SU GÝD.
      760.01.04.00005;KARGO KURYE POSTA GÝD.
      760.01.04.00006;MUTFAK VE TEMÝZLÝK GÝD.
      760.01.04.00007;KIRTASÝYE GÝD.
      760.01.04.00008;BASILI EVRAK GÝD.
      760.01.04.00009;NAKLÝYE HAMMALÝYE GÝD.
      760.01.04.00010;TEMSÝL VE AÐIRLAMA GÝD.
      760.01.04.00011;KÜÇÜK DEMÝRBAÞ GÝD.
      760.01.04.00012;PRINTER BASKI GÝD.
      760.01.04.00013;ÞÝRKET TOPLANTI VE YEMEKLERÝ GÝD.
      760.01.04.00014;ÞÝRKET TOPLANTI VE YEMEKLERÝ -TEKNE KÝRALAMA
      760.01.05.00001;TELEFON GÝD.
      760.01.05.00002;CEP TELEFONU GÝD.
      760.01.05.00003;TELSÝZ ÝLETÝÞÝM GÝD.
      760.01.05.00004;ÝNTERNET/ADSL/FÝBER GÝD.
      760.01.05.00005;UZAKTAN SANAL TOPLANTI LÝSANS GÝD.-ZOOM
      760.01.05.00006;SANTRAL GÝD.
      760.01.05.00007;MÜÞTERÝ TEDARÝKÇÝ SÝSTEM KULLANIM BEDELÝ
      760.01.06.00001;ULAÞIM GÝD.-YURT ÝÇÝ ULAÞIM
      760.01.06.00002;ULAÞIM GÝD.-YURT DIÞI ULAÞIM
      760.01.06.00003;KONAKLAMA GÝD.-YURT ÝÇÝ OTEL
      760.01.06.00004;KONAKLAMA GÝD.-YURT DIÞI OTEL
      760.01.06.00005;UÇAK GÝD.-YURT ÝÇÝ UÇUÞLAR
      760.01.06.00006;UÇAK GÝD.-YURT DIÞI UÇUÞLAR
      760.01.06.00007;VÝZE VE SEYAHAT HÝZMET GÝD.
      760.01.06.00008;YURTDIÞI DÝÐER SEYAHAT GÝD.(YEMEK TAKSÝ DÝÐER)
      760.01.07.00001;ARAÇ KÝRALAMA GÝD.-UZUN DÖNEM
      760.01.07.00002;ARAÇ KÝRALAMA GÝD.-GÜNLÜK
      760.01.07.00005;ARAÇ YAKIT GÝD.
      760.01.07.00006;ARAÇ HGS / OGS GEÇÝÞ GÝD.
      760.01.07.00007;ARAÇ MUAYENE GÝD.
      760.01.07.00008;MOTORLU TAÞITLAR VERGÝSÝ (KKEG OLMAYAN)
      760.01.07.00009;ARAÇ SÖZLEÞME CEZALARI
      760.01.07.00012;ARAÇ UTTS GÝDERLERÝ
      760.01.07.99999;DÝÐER ARAÇ GÝD. (YIKAMA- PARK VS)
      760.01.09.00001;ARAÇ KASKO GÝD
      760.01.09.00002;ZORUNLU TRAFÝK SÝGORTASI GÝD.
      760.01.09.00003;OFÝS YANGIN SÝGORTA GÝD.
      760.01.09.00004;MESLEKÝ MESULÝYET SÝGORTA GÝD.-HEKÝM
      760.01.09.00005;MESLEKÝ MESULÝYET SÝGORTA GÝD.-ISG UZMAN
      760.01.09.00006;TAMAMLAYICI SAÐLIK SÝGORTA GÝD.
      760.01.09.00007;GRUP ÖZEL SAÐLIK SÝGORTASI-VODAFONE
      760.01.09.00008;ÝÞVEREN MALÝ SORUMLULUK SÝGORTASI GÝD.
      760.01.09.00009;3.ÞAHIS MALÝ SORUMLULUK SÝGORTASI GÝD.
      760.01.09.00010;BANKA KREDÝ ÝÇÝN BÝREYSEL SÝGORTALAR-TÝCARÝ/HAYAT
